"Tag","Datum","Wochentag","Plattform","Kategorie","Hook","Caption","CTA","Hashtags","Motiv_Idee","Gepostet"
"70","2026-11-29","Sonntag","Instagram + TikTok","Tips","The one menu mistake that's quietly costing you orders.","Long, unphotographed dish descriptions make guests default to what they already know. Shorter names, one clear description line, and a photo where it matters most nudge them toward trying something new.","More menu tips like this","#MenuPsychology #RestaurantTips #RestaurantOwner #Gastronomie #CaféOwner #SmallBusinessTips","Text-on-screen style video listing 3 quick menu-writing tips over a b-roll shot of a menu being read.",""
"71","2026-11-30","Montag","Instagram + TikTok","Trend","Tell me your restaurant still hands out laminated menus without telling me.","...the corner's peeling, there's a mystery stain near the desserts, and nobody's updated the prices since last year. We've all seen one. Sound familiar?","There's a better way -> bio link","#RestaurantLife #Relatable #QRMenu #RestaurantOwner #Trending #Gastronomie","Quick comedic reveal format: text prompt on screen, then a zoom into a worn, stained paper menu for the punchline.",""
"72","2026-12-01","Dienstag","Instagram + TikTok","Offer","Smart Pro: the plan most restaurants actually pick.","Up to 150 menu items, three monthly updates, an extra language included - Smart Pro is built for restaurants that are growing and need more room to change things.","See why it's the most popular plan","#SmartPro #QRMenu #RestaurantOwner #SmartMenuSolutions #Gastronomie #MostPopular","Screen capture of the pricing page highlighting the 'Most popular' badge on the Smart Pro card.",""
"73","2026-12-02","Mittwoch","Instagram + TikTok","Pain","One language. One frustrated tourist.","Your printed menu is in Greek. Your table just sat down speaking German, English and Italian. A digital menu switches language with one tap - no reprinting, no guessing, no lost orders.","Menus your guests can actually read","#TourismTips #Hospitality #RestaurantOwner #MultilingualMenu #QRMenu #CaféLife #TravelGreece","Film a guest looking confused at a paper menu, then show them tapping a language flag on a phone menu and smiling.",""
"74","2026-12-03","Donnerstag","Instagram + TikTok","Feature","Every dish, its own photo.","Guests order with their eyes first. Add a photo to every menu item and watch indecisive tables order faster - and order more. It's an optional add-on that pays for itself in bigger tickets.","Add photos to your menu","#FoodPhotography #MenuDesign #RestaurantMarketing #QRMenu #CaféOwner #RestaurantTips","Show a phone scrolling a menu with appetizing dish photos next to each item, guest visibly deciding faster.",""
"75","2026-12-04","Freitag","Instagram + TikTok","Demo","Watch a price change reach every table in real time.","We edit one number on the dashboard - watch how fast it shows up on the guest's phone. This is what 'update instantly, from any device' actually looks like.","Try the live demo yourself","#RestaurantTech #QRMenu #LiveDemo #SmartMenuSolutions #MenuManagement","Split screen: dashboard on one side, phone menu on the other, edit a price and show both updating together.",""
"76","2026-12-05","Samstag","Instagram + TikTok","Tips","Where guests actually look first on a menu (it's not the top).","Eye-tracking studies on printed menus consistently find the top-right corner gets the first, longest look. That's prime real estate for your highest-margin dish - on paper or on a screen.","Put your best dish where eyes land","#MenuDesign #RestaurantTips #MenuPsychology #Gastronomie #RestaurantOwner","Simple diagram-style overlay on a menu screenshot showing an eye-tracking heat pattern starting top-right.",""
"77","2026-12-06","Sonntag","Instagram + TikTok","Trend","Rating restaurant menus until one finally has a QR code that actually works.","A quick, scroll-stopping format: rate a few menu experiences (paper, broken QR, then a smooth digital one) with a playful score overlay for each.","Rate your own menu -> link in bio","#MenuReview #RestaurantLife #QRMenu #Trending #FoodTok #Gastronomie","Rapid-cut format rating 3 menu experiences with big on-screen scores, ending on the smooth Smart Menu Solutions scan.",""
"78","2026-12-07","Montag","Instagram + TikTok","Offer","Smart Premium: for restaurants, hotels and groups that don't want limits.","Six monthly updates, two extra languages, built for busy, high-turnover venues that change their offering often - hotel restaurants, multi-location groups, high season menus.","Go all-in with Smart Premium","#SmartPremium #QRMenu #HotelRestaurant #SmartMenuSolutions #Gastronomie","Product-style shot of the Smart Premium plan card, styled next to a busy restaurant or hotel dining scene.",""
"79","2026-12-08","Dienstag","Instagram + TikTok","Pain","The menu that smells like yesterday's fryer.","Paper absorbs grease, spills and smells - and it shows. Laminate helps for a while, then it doesn't. A phone screen wipes clean and never picks up the smell of the kitchen.","There's a cleaner way to menu","#RestaurantHygiene #CaféOwner #QRMenu #RestaurantTips #SmartMenuSolutions #FoodService","Close-up of a stained, worn laminated menu page next to a clean phone screen showing the digital menu.",""
"80","2026-12-09","Mittwoch","Instagram + TikTok","Feature","No app. No download. Just a scan.","Guests already have a camera in their pocket - that's the whole install process. Point, scan, see the full menu in their browser. Nothing to download, nothing to delete afterward.","Zero friction, for you and your guests","#QRMenu #NoAppNeeded #RestaurantTech #Hospitality #SmartMenuSolutions #CaféLife","Film a guest simply pointing their phone camera at a table QR code and the menu opening instantly in the browser.",""
"81","2026-12-10","Donnerstag","Instagram + TikTok","Demo","From order form to live QR menu - the whole setup, sped up.","Choose a plan, upload your current menu, and Smart Menu Solutions sets up your digital menu and QR code - typically live within days, not weeks.","See how fast you could be live","#RestaurantOnboarding #QRMenu #SmallBusinessSetup #SmartMenuSolutions #Gastronomie","Fast time-lapse style montage: order form submission, PDF upload, then the finished live QR menu on a phone.",""
"82","2026-12-11","Freitag","Instagram + TikTok","Tips","Photos increase orders of that dish - here's the honest range.","Studies on menu photography consistently show a real lift in orders for photographed dishes, though the exact number varies by cuisine and photo quality. Even a handful of good photos on your bestsellers can move the needle.","Start with your top 5 dishes","#FoodPhotography #RestaurantMarketing #MenuTips #Gastronomie #RestaurantOwner","B-roll of a phone camera photographing a plated dish from directly above in good natural light.",""
"83","2026-12-12","Samstag","Instagram + TikTok","Trend","Things that live rent-free in every server's head: table 4 asking for the specials that changed an hour ago.","A relatable, slightly exaggerated skit about how fast specials get out of date on paper - and how a digital menu update fixes it instantly, mid-shift.","Update specials without the chaos","#ServerLife #RestaurantHumor #Relatable #QRMenu #Trending #Hospitality","Mini skit: a server visibly flustered explaining an outdated special, then calmly updating it on a phone instead.",""
"84","2026-12-13","Sonntag","Instagram + TikTok","Offer","Smart Food Match, now on every plan for +5 euro a year.","Personalized recommendations from three quick questions, fully integrated into your existing QR menu - one of the smallest add-on costs that can genuinely lift average order value.","Add Smart Food Match at checkout","#SmartFoodMatch #QRMenu #MenuInnovation #SmartMenuSolutions #RestaurantOwner","Product shot of the Smart Food Match add-on toggle on the order form with the +5 euro/year label visible.",""
"85","2026-12-14","Montag","Instagram + TikTok","Pain","Someone ordered the risotto. You 86'd it Tuesday.","Nothing kills a first impression like ordering a dish that's been off the menu for three days. One dashboard update and it's gone everywhere at once - no more apologizing table by table.","Never 86 the hard way again","#RestaurantLife #KitchenTips #RestaurantOwner #86d #QRMenu #Gastronomie #RestaurantManagement","Show a server crossing something off a paper menu with an awkward apology gesture, then cut to removing the item on the dashboard.",""
"86","2026-12-15","Dienstag","Instagram + TikTok","Feature","Upload your PDF. We turn it into a live digital menu.","Already have a menu as a PDF? Smart Menu Solutions reads it, pulls out your categories and dishes, and turns it into a scannable digital menu - no manual retyping needed.","Start with the menu you already have","#RestaurantOnboarding #QRMenu #SmartMenuSolutions #RestaurantOwner #DigitalTransformation","Screen-record dragging a PDF menu into the upload box, then show the parsed digital menu appearing seconds later.",""
"87","2026-12-16","Mittwoch","Instagram + TikTok","Demo","Here's what a guest actually sees, start to finish.","No narration needed - just watch a real guest scan a table QR code, browse categories, tap into a dish photo, and place an order with the server. That's the whole flow.","This could be your guest's next visit","#GuestExperience #QRMenu #RestaurantDemo #Hospitality #CaféLife","POV-style: guest's hand scanning the code, thumb scrolling the menu, pausing on a dish photo, then flagging the server.",""
"88","2026-12-17","Donnerstag","Instagram + TikTok","Tips","Three words beat ten, every time.","'Grandma's slow-braised lamb, cooked for six hours in red wine and herbs' sounds nice - and most guests skim right past it. Short, specific, appetizing beats long and literary. Save the story for your Instagram caption.","Tighten your menu copy this week","#MenuWriting #RestaurantTips #Copywriting #Gastronomie #CaféOwner","Text overlay comparing a long dish description crossed out next to a short, punchy rewrite.",""
"89","2026-12-18","Freitag","Instagram + TikTok","Trend","Day in the life of a café owner who finally ditched paper menus.","A quick, relatable montage format - morning coffee, updating a price from the counter in ten seconds, no printer in sight, guests scanning happily all day.","See a day without reprint stress","#DayInTheLife #CaféOwner #RestaurantLife #QRMenu #Trending #SmallBusiness","Montage: coffee pour, quick price edit on phone, QR code table tent shot, guest scanning and smiling.",""
"90","2026-12-19","Samstag","Instagram + TikTok","Offer","Already have a menu PDF? You're closer to live than you think.","Upload what you already have, choose your plan, and Smart Menu Solutions turns it into a working QR menu - most of the setup work happens on our side, not yours.","Start your order -> link in bio","#RestaurantOnboarding #QRMenu #SmartMenuSolutions #SmallBusiness #Gastronomie","Show a menu PDF being dragged into the order form upload box on a laptop or phone screen.",""
"91","2026-12-20","Sonntag","Instagram + TikTok","Pain","The seasonal menu that took a week to print.","New season, new dishes, new print run, new wait. By the time 60 laminated menus come back from the printer, half the season's gone. A digital menu is ready the moment you hit save.","Launch your next menu in minutes","#SeasonalMenu #RestaurantOwner #CaféLife #QRMenu #RestaurantTech #SmallBusiness","Show a calendar flipping through weeks next to a stack of menus, then cut to instantly publishing a new dish on the dashboard.",""
"92","2026-12-21","Montag","Instagram + TikTok","Feature","Your own QR code. Your own menu. Your own brand.","Every Smart Menu Solutions client gets a unique QR code, styled and ready to print on table tents, stickers or window clings - all pointing straight to your live, always-current menu.","Get your own QR code today","#QRCode #RestaurantBranding #QRMenu #SmallBusiness #CaféOwner #Gastronomie","Show a printed QR table tent on a real table, someone scanning it, and the branded digital menu opening.",""
"93","2026-12-22","Dienstag","Instagram + TikTok","Demo","Switching languages shouldn't take longer than ordering.","Tap a flag, the whole menu changes - names, descriptions, prices formatted correctly. Watch how fast a guest can go from Greek to English to German on the same phone.","See every language, live","#MultilingualMenu #QRMenu #TravelGreece #RestaurantTech #Hospitality","Screen-record rapidly tapping between 3-4 language flags on the live menu, showing instant full-page translation.",""
"94","2026-12-23","Mittwoch","Instagram + TikTok","Tips","Stop pricing everything in round numbers.","€10.00 reads as a bigger spend than €9.80, even though it barely matters to your margin. Small, deliberate pricing choices like this are standard practice in menu engineering - and cost nothing to test.","Small menu tweaks, real results","#MenuEngineering #RestaurantTips #Pricing #Gastronomie #RestaurantOwner","Simple side-by-side text card: €10.00 vs €9.80, with a subtle visual emphasis on the smaller number feeling lighter.",""
"95","2026-12-24","Donnerstag","Instagram + TikTok","Trend","Guess the price before it changes - the QR menu edition.","A light, game-show style trend: guess today's price on a dish, reveal the current (instantly updated) price on the live digital menu. Fun way to show off real-time updates.","Play along -> comment your guess","#GuessThePrice #RestaurantGame #QRMenu #Trending #FoodTok #Gastronomie","Playful game-show format: guess overlay on a dish photo, big reveal of the actual current price from the live menu.",""
"96","2026-12-25","Freitag","Instagram + TikTok","Offer","Every plan includes your own QR code, ready to print.","No separate QR code tool, no extra subscription - every Smart Menu Solutions plan comes with a unique, styled QR code pointing straight at your live menu.","Included in every plan, every time","#QRCode #QRMenu #SmartMenuSolutions #RestaurantOwner #Gastronomie","Product-style close-up of a printed QR code table tent next to a laptop showing the plan comparison page.",""
"97","2026-12-26","Samstag","Instagram + TikTok","Pain","Your hotel breakfast menu, in one language, for guests from twelve countries.","Hotel restaurants see the widest mix of nationalities in hospitality - and most still hand out a single-language card. A QR menu speaks back in whatever language your guest already has on their phone.","Built for international guests","#HotelRestaurant #Hospitality #QRMenu #MultilingualMenu #HotelTips #Gastronomie","Film a breakfast buffet area, then a guest scanning the QR code and switching the menu to their own language.",""
"98","2026-12-27","Sonntag","Instagram + TikTok","Feature","Smart Food Match(tm): 3 questions, 1 perfect order.","Guests answer three quick questions about what they're craving and get a personalized dish recommendation straight from your menu. Less scrolling, faster decisions, bigger average orders.","Add Smart Food Match to your menu","#SmartFoodMatch #RestaurantTech #QRMenu #MenuInnovation #Foodie #Gastronomie","Film a guest tapping through the 3-question quiz on their phone and landing on a recommended dish, looking pleased.",""
"99","2026-12-28","Montag","Instagram + TikTok","Demo","The dish photo that changed how fast a table orders.","Two guests, same menu, one version with photos, one without. Watch how much faster the table with photos actually decides. Small change, real impact on turnover.","Add photos, see the difference","#MenuPsychology #RestaurantTips #QRMenu #FoodPhotography #RestaurantOwner","Side-by-side mock: guest scrolling a text-only menu looking unsure vs. scrolling a menu with photos and pointing quickly.",""
"100","2026-12-29","Dienstag","Instagram + TikTok","Tips","Your specials board works harder digitally than on a chalkboard.","A chalkboard special only reaches guests already inside. A digital menu update reaches everyone who scans your QR code that day - including the table that hasn't sat down yet.","Push today's special everywhere at once","#DailySpecials #RestaurantMarketing #QRMenu #RestaurantTips #Gastronomie","Show a handwritten chalkboard special next to a phone showing the same special live on the digital menu.",""
"101","2026-12-30","Mittwoch","Instagram + TikTok","Trend","That feeling when the specials board and the printed menu finally agree.","A relatable 'main character' moment for restaurant owners: the small satisfaction of everything - QR menu, table tent, staff - being in sync because there's only one source of truth now.","One menu, everyone in sync","#RestaurantOwner #Relatable #QRMenu #SmallBusiness #Trending #Gastronomie","Satisfying montage: staff checking the same live menu on different phones, all matching, ending on a relieved smile.",""
"102","2026-12-31","Donnerstag","Instagram + TikTok","Offer","Questions about which plan fits your restaurant? Just ask.","Every plan question gets a real, human reply - no chatbot, no ticket queue. Email us and get a straight answer about which plan actually fits your table count and menu size.","Email your question -> bio link","#SmartMenuSolutions #CustomerSupport #QRMenu #RestaurantOwner #Gastronomie","Simple screen recording of composing and sending a plan question email, ending on a friendly reply notification.",""
"103","2027-01-01","Freitag","Instagram + TikTok","Pain","Every table, a slightly different menu.","Torn corners here, a missing insert there, one table still has last month's specials. Paper menus drift out of sync fast. A QR menu means every single table shows the exact same, current menu - always.","One menu. Every table. Always current.","#RestaurantConsistency #RestaurantOwner #QRMenu #CaféOwner #RestaurantTips #Gastronomie","Show three different paper menus on three tables looking slightly different, then cut to three phones showing the identical digital menu.",""
"104","2027-01-02","Samstag","Instagram + TikTok","Feature","One dashboard. Every part of your menu.","Categories, dish photos, prices, languages, course types, portion sizes - all editable from one simple screen. No developer, no waiting on an agency, no ticket queue.","See the dashboard for yourself","#RestaurantDashboard #MenuManagement #QRMenu #SmartMenuSolutions #RestaurantOwner","Screen-record scrolling through the admin dashboard tabs: Details, Menu & Photos, Languages - fast and confident.",""
"105","2027-01-03","Sonntag","Instagram + TikTok","Demo","Smart Food Match, from question one to recommended dish.","Watch a guest answer three simple questions - mood, craving, dietary note - and land on a dish they'd never have scrolled to on their own.","Let your menu make the recommendation","#SmartFoodMatch #QRMenu #MenuInnovation #RestaurantTech #Foodie","Screen-record the full 3-question quiz flow ending on a recommended dish card with a satisfied guest reaction.",""
"106","2027-01-04","Montag","Instagram + TikTok","Tips","The fastest way to spot a menu that's overdue for an update.","If you can't remember the last time you changed a price or removed a dish, guests have probably noticed before you have. A quick monthly menu review keeps things sharp - digital makes that review a five-minute job.","Review your menu this month","#MenuManagement #RestaurantTips #RestaurantOwner #Gastronomie #SmallBusinessTips","Calendar graphic circling 'once a month' next to a quick screen-record of reviewing dishes in the dashboard.",""
"107","2027-01-05","Dienstag","Instagram + TikTok","Trend","Explaining the QR menu to my grandmother.","A lighthearted, genuinely charming format - walking an older relative or regular through their first QR menu scan and watching the moment it clicks.","Even the least techy guest gets it","#Relatable #QRMenu #RestaurantLife #Trending #Gastronomie #FamilyBusiness","Warm, real footage of an older guest hesitantly scanning a QR code for the first time, then smiling as the menu loads.",""
"108","2027-01-06","Mittwoch","Instagram + TikTok","Offer","One year, one price, no surprise renewal fees.","All Smart Menu Solutions plans bill annually with clear, upfront pricing - what you see on the pricing page is what you pay, VAT included.","See transparent pricing -> link in bio","#TransparentPricing #QRMenu #SmartMenuSolutions #SmallBusiness #Gastronomie","Clean product-style shot scrolling the pricing page, pausing on the 'VAT incl.' label under each plan.",""
"109","2027-01-07","Donnerstag","Instagram + TikTok","Pain","The allergy question that makes everyone nervous.","A guest asks if a dish has nuts and the paper menu has no answer - so staff guess, or run to the kitchen. A digital menu can show ingredients and notes right where the guest is already looking.","Give guests the details, not the guesswork","#FoodAllergies #RestaurantSafety #QRMenu #RestaurantOwner #CaféLife #Hospitality","Show a guest pointing at a menu item looking uncertain, then cut to the same dish's details open on their phone.",""
"110","2027-01-08","Freitag","Instagram + TikTok","Feature","Update your menu from the beach, if you have to.","No install, no office PC required. The Smart Menu Solutions dashboard works from any phone or laptop with a browser - change today's specials from wherever you actually are.","Manage your menu from anywhere","#RestaurantOwnerLife #SmallBusinessTools #QRMenu #RemoteManagement #Hospitality","Show someone casually editing today's specials on a phone while clearly not in the restaurant - a terrace, a car, a beach chair.",""
"111","2027-01-09","Samstag","Instagram + TikTok","Demo","One QR code. Every table, chair and bar stool covered.","Print it once, place it everywhere - table tents, coasters, the bar counter. Every scan opens the exact same, always-current menu, no matter which one they used.","Get your QR code set up","#QRCode #RestaurantSetup #QRMenu #BarMenu #Gastronomie","Show the same QR code printed on a table tent, a coaster and a bar counter sticker, each getting scanned in turn.",""
"112","2027-01-10","Sonntag","Instagram + TikTok","Tips","Group your menu the way guests actually decide, not the way your kitchen is organized.","Kitchens think in stations. Guests think in starters, mains, sides, drinks, dessert. A menu structured for the guest's decision path moves tables through ordering faster.","Rethink your menu categories","#MenuDesign #RestaurantTips #Gastronomie #CaféOwner #RestaurantOwner","Simple before/after graphic: kitchen-station-based category list vs. guest-friendly category list.",""
"113","2027-01-11","Montag","Instagram + TikTok","Trend","Ranking table tent QR code designs from worst to best.","A quick visual trend ranking a few QR code table-tent designs, ending on a clean, on-brand one that actually matches the restaurant's look.","Get a QR code that matches your brand","#QRCode #RestaurantBranding #Trending #QRMenu #Gastronomie #MenuDesign","Rapid-cut format flipping through a few table tent designs with on-screen ratings, ending on the polished branded one.",""
"114","2027-01-12","Dienstag","Instagram + TikTok","Offer","Renewing is even easier than setting up the first time.","Confirm your plan, upload your current menu if anything changed, and you're set for another year - the renewal flow takes minutes, not a new onboarding call.","See how renewal works","#SmartMenuSolutions #QRMenu #RestaurantOwner #Renewal #Gastronomie","Screen-record the renewal.html flow: confirm plan, upload menu, submit - fast and simple.",""
"115","2027-01-13","Mittwoch","Instagram + TikTok","Pain","Printing menus is the most expensive way to say 'sold out'.","Every reprint costs money and still goes stale the moment one dish changes. A digital menu removes the reprint bill entirely - and the item that's gone is gone everywhere, instantly.","Stop paying to print outdated menus","#RestaurantCosts #SmallBusiness #QRMenu #RestaurantOwner #Gastronomie #CaféOwner","Show a stack of freshly printed menus going straight into a recycling bin, then cut to one clean phone screen replacing all of them.",""
"116","2027-01-14","Donnerstag","Instagram + TikTok","Feature","Course types, sorted automatically - override anytime.","Starters, mains, desserts: Smart Menu Solutions suggests the course type for each dish automatically, and you can change it in one tap if it's wrong. Less setup work, same full control.","Set up your menu in minutes","#RestaurantSetup #MenuManagement #QRMenu #SmartMenuSolutions #RestaurantTech","Screen-record adding a new dish and watching the course-type suggestion appear automatically, then tapping to override it.",""
"117","2027-01-15","Freitag","Instagram + TikTok","Demo","The admin dashboard, three tabs, one afternoon.","Details, Menu & Photos, Languages - most owners have their full digital menu set up and reviewed in about the time it takes to do inventory.","Set your menu up this week","#RestaurantSetup #QRMenu #SmartMenuSolutions #MenuManagement #SmallBusiness","Quick screen-record tour through the three dashboard tabs, pausing briefly on each with a checkmark animation or tap.",""
"118","2027-01-16","Samstag","Instagram + TikTok","Tips","Dietary tags aren't extra work - they're fewer questions for your staff.","Marking vegetarian, vegan or gluten-free dishes clearly on the menu means fewer interruptions to the kitchen and faster, more confident ordering for guests with dietary needs.","Add dietary tags to your menu","#DietaryNeeds #RestaurantTips #MenuDesign #Gastronomie #Hospitality","Close-up of small dietary icons (V, VG, GF) next to menu items on a phone screen.",""
"119","2027-01-17","Sonntag","Instagram + TikTok","Trend","POV: the tourist table just found the language switcher.","Capture the genuine relief on a non-local guest's face the moment they realize the menu speaks their language - a small moment that says a lot about the guest experience.","Make every guest feel understood","#POV #TravelGreece #QRMenu #Hospitality #Trending #Gastronomie","Film a tourist guest's face lighting up as they tap the language flag and the menu switches to their native language.",""
"120","2027-01-18","Montag","Instagram + TikTok","Offer","Still deciding? Start with the plan you can grow out of.","It's easier to upgrade a Smart Start menu to Smart Pro later than to overbuy features you don't need yet. Start where your restaurant actually is today.","Compare all three plans -> link in bio","#SmartMenuSolutions #QRMenu #RestaurantOwner #SmallBusinessTips #Gastronomie","Simple comparison graphic or screen-record scrolling across all three pricing cards side by side.",""
"121","2027-01-19","Dienstag","Instagram + TikTok","Pain","Your menu just got rained on. Again.","Laminated pages, faded ink, a corner that never dries. Paper menus take a beating every single service - and guests notice before they've even ordered. A QR menu never gets soggy, torn, or sticky.","See the alternative -> link in bio","#RestaurantTips #MenuDesign #QRMenu #CaféLife #RestaurantOwner #DigitalMenu #HospitalityTech #SmartMenuSolutions","Film a close-up of a worn, curling paper menu on a table, then cut to a phone scanning a clean QR code menu.",""
"122","2027-01-20","Mittwoch","Instagram + TikTok","Feature","Change a price. Watch it update everywhere. At once.","No reprint, no relabeling, no waiting for the next batch of menus. Edit a price on the Smart Menu Solutions dashboard and every guest scanning your QR code sees it instantly.","Try it on your own menu","#RestaurantTech #QRMenu #MenuManagement #SmartMenuSolutions #RestaurantOwner #CaféLife #DigitalMenu","Screen-record editing a price in the admin dashboard, then show a phone scanning the QR and displaying the new price live.",""
"123","2027-01-21","Donnerstag","Instagram + TikTok","Demo","Scan. View. Enjoy. That's the whole menu experience.","No app store, no account, no loading screen. A guest scans your table's QR code and your full menu opens right in their browser - in the language they already use.","Watch it happen in real time","#ScanViewEnjoy #QRMenu #RestaurantExperience #Hospitality #SmartMenuSolutions #CaféLife","Time a full scan-to-menu-open in one continuous shot, phone camera to loaded menu, under 3 seconds.",""
"124","2027-01-22","Freitag","Instagram + TikTok","Tips","A hotel restaurant menu should work before breakfast even opens.","Guests often check tomorrow's breakfast or dinner menu from their room the night before. A digital menu they can browse anytime - no front desk call needed - quietly improves the whole stay.","Make your menu available 24/7","#HotelRestaurant #Hospitality #RestaurantTips #QRMenu #Gastronomie","Show a hotel guest browsing the restaurant menu on their phone from a hotel room bed, relaxed.",""
"125","2027-01-23","Samstag","Instagram + TikTok","Trend","POV: you're a guest who just realized the menu updates instantly.","That small double-take when a guest scans the code expecting a static PDF and gets a full, current, tappable menu instead. Worth capturing on camera every single time.","Give your guests that moment too","#POV #RestaurantLife #QRMenu #GuestExperience #Trending #CaféLife","Film a genuine guest reaction (surprise, smile) the moment they realize the digital menu is fully interactive, not just a PDF.",""
"126","2027-01-24","Sonntag","Instagram + TikTok","Offer","Smart Start is built for cafes, kiosks and small teams getting started.","Digital QR menu, up to 50 items, mobile-friendly design, your own unique QR code - a straightforward first step into digital menus, billed once a year.","See what's included -> link in bio","#SmartStart #QRMenu #SmallBusiness #CaféOwner #SmartMenuSolutions #Gastronomie","Simple clean product-style shot: phone showing the Smart Start plan page, pricing card visible.",""
"127","2027-01-25","Montag","Instagram + TikTok","Pain","Price went up. 40 menus didn't.","New supplier prices hit and now someone's sitting there with a pen, crossing out numbers on 40 printed menus by hand. With a digital menu you fix the price once and it's live everywhere, instantly.","Update prices in seconds, not hours","#RestaurantOwner #FoodCosts #MenuPricing #RestaurantTech #QRMenu #Gastronomie #SmallBusinessTips","Show a hand crossing out a price with a pen on a paper menu, then cut to editing the same price on a phone/dashboard.",""
"128","2027-01-26","Dienstag","Instagram + TikTok","Feature","Your menu, in five languages, without hiring a translator.","Smart Menu Solutions plans include multiple languages built in, with more available as an add-on. Guests tap a flag and read your full menu in their own language - no awkward pointing required.","See it in action -> bio link","#MultilingualMenu #Hospitality #QRMenu #TravelTips #RestaurantOwner #SmartMenuSolutions","Film someone tapping through DE / EN / EL / IT / ES flags on the live menu and watching the text switch.",""
"129","2027-01-27","Mittwoch","Instagram + TikTok","Demo","Paper menu on the left. Same restaurant on the right.","Same dishes, same prices, two completely different guest experiences. One gets stained and outdated. The other updates the second you change something. Here's the side-by-side.","See which one your restaurant needs","#BeforeAndAfter #QRMenu #RestaurantTransformation #DigitalMenu #Gastronomie","Split-screen: worn paper menu on a table on one side, phone showing the live digital menu on the other.",""
"130","2027-01-28","Donnerstag","Instagram + TikTok","Tips","The busiest 20 minutes of service is the worst time to explain a dish.","When a guest can read ingredients, allergens and a short description themselves, your server spends less time explaining and more time turning tables during the rush.","Let the menu do the explaining","#RestaurantOperations #RestaurantTips #QRMenu #Hospitality #Gastronomie","Split screen: a server mid-explanation looking rushed vs. a guest calmly reading dish details on their own phone.",""
"131","2027-01-29","Freitag","Instagram + TikTok","Trend","Tell me your restaurant still hands out laminated menus without telling me.","...the corner's peeling, there's a mystery stain near the desserts, and nobody's updated the prices since last year. We've all seen one. Sound familiar?","There's a better way -> bio link","#RestaurantLife #Relatable #QRMenu #RestaurantOwner #Trending #Gastronomie","Quick comedic reveal format: text prompt on screen, then a zoom into a worn, stained paper menu for the punchline.",""
"132","2027-01-30","Samstag","Instagram + TikTok","Offer","Smart Pro: the plan most restaurants actually pick.","Up to 150 menu items, three monthly updates, an extra language included - Smart Pro is built for restaurants that are growing and need more room to change things.","See why it's the most popular plan","#SmartPro #QRMenu #RestaurantOwner #SmartMenuSolutions #Gastronomie #MostPopular","Screen capture of the pricing page highlighting the 'Most popular' badge on the Smart Pro card.",""
"133","2027-01-31","Sonntag","Instagram + TikTok","Pain","One language. One frustrated tourist.","Your printed menu is in Greek. Your table just sat down speaking German, English and Italian. A digital menu switches language with one tap - no reprinting, no guessing, no lost orders.","Menus your guests can actually read","#TourismTips #Hospitality #RestaurantOwner #MultilingualMenu #QRMenu #CaféLife #TravelGreece","Film a guest looking confused at a paper menu, then show them tapping a language flag on a phone menu and smiling.",""
"134","2027-02-01","Montag","Instagram + TikTok","Feature","Every dish, its own photo.","Guests order with their eyes first. Add a photo to every menu item and watch indecisive tables order faster - and order more. It's an optional add-on that pays for itself in bigger tickets.","Add photos to your menu","#FoodPhotography #MenuDesign #RestaurantMarketing #QRMenu #CaféOwner #RestaurantTips","Show a phone scrolling a menu with appetizing dish photos next to each item, guest visibly deciding faster.",""
"135","2027-02-02","Dienstag","Instagram + TikTok","Demo","Watch a price change reach every table in real time.","We edit one number on the dashboard - watch how fast it shows up on the guest's phone. This is what 'update instantly, from any device' actually looks like.","Try the live demo yourself","#RestaurantTech #QRMenu #LiveDemo #SmartMenuSolutions #MenuManagement","Split screen: dashboard on one side, phone menu on the other, edit a price and show both updating together.",""
"136","2027-02-03","Mittwoch","Instagram + TikTok","Tips","The one menu mistake that's quietly costing you orders.","Long, unphotographed dish descriptions make guests default to what they already know. Shorter names, one clear description line, and a photo where it matters most nudge them toward trying something new.","More menu tips like this","#MenuPsychology #RestaurantTips #RestaurantOwner #Gastronomie #CaféOwner #SmallBusinessTips","Text-on-screen style video listing 3 quick menu-writing tips over a b-roll shot of a menu being read.",""
"137","2027-02-04","Donnerstag","Instagram + TikTok","Trend","Rating restaurant menus until one finally has a QR code that actually works.","A quick, scroll-stopping format: rate a few menu experiences (paper, broken QR, then a smooth digital one) with a playful score overlay for each.","Rate your own menu -> link in bio","#MenuReview #RestaurantLife #QRMenu #Trending #FoodTok #Gastronomie","Rapid-cut format rating 3 menu experiences with big on-screen scores, ending on the smooth Smart Menu Solutions scan.",""
"138","2027-02-05","Freitag","Instagram + TikTok","Offer","Smart Premium: for restaurants, hotels and groups that don't want limits.","Six monthly updates, two extra languages, built for busy, high-turnover venues that change their offering often - hotel restaurants, multi-location groups, high season menus.","Go all-in with Smart Premium","#SmartPremium #QRMenu #HotelRestaurant #SmartMenuSolutions #Gastronomie","Product-style shot of the Smart Premium plan card, styled next to a busy restaurant or hotel dining scene.",""
